,newind,Cand_Name,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Coverage_End_Date,Party_Committee_Contribution,Cand_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Coverage_Start_Date
982,AL04,"BLACKMON, ANTHONY MR",REP,CHALLENGER,5648.0,5355.84,300.0,09/30/2018,0.0,0.0,5355.84,10.0,10/20/2017
47,AL04,"NORRIS, PHILLIP",REP,CHALLENGER,100.0,100.0,0.0,03/08/2018,0.0,100.0,83.1,0.0,01/01/2017
499,AL04,"ADERHOLT, ROBERT B. REP.",REP,INCUMBENT,1550530.91,1300365.01,715678.16,12/31/2018,0.0,0.0,1261976.94,465512.26,01/01/2017
195,AL04,"NEIGHBORS, RICKY ALLEN",DEM,CHALLENGER,21088.35,17429.2,4805.37,09/30/2018,0.0,0.0,17429.2,0.0,06/01/2017
270,AL04,"AUMAN, JAMES LEE",DEM,CHALLENGER,70425.87,77551.69,0.0,12/31/2018,0.0,40.0,76421.9,0.0,01/01/2018
1410,AL05,"HINCHMAN, ROBERT CLAYTON MR",GOP,CHALLENGER,253800.31,259899.11,-1033.08,12/31/2018,0.0,500.0,252523.79,0.0,04/01/2017
1844,AL05,"SWEENEY, TERRENCE MICHAEL",REP,OPEN,5000.0,9603.56,-79.12,05/15/2018,0.0,0.0,555.56,4524.44,01/01/2017
378,AL05,"JOFFRION, PETER S.",DEM,CHALLENGER,590173.38,587237.93,2935.45,12/31/2018,0.0,1156.51,566967.63,0.0,04/01/2017
2012,AL05,"CAIN, BRETT BUTLER",DEM,CHALLENGER,2690.0,2907.2,,09/30/2018,0.0,0.0,258.79,0.0,04/01/2017
1324,AL05,"BROOKS, MO",REP,INCUMBENT,1527246.16,2006001.97,692181.51,12/31/2018,0.0,0.0,1988145.35,1170937.7,01/01/2017
806,AL05,"HOLTZCLAW, WILLIAM LOVETTE",REP,CHALLENGER,40972.79,40899.6,73.19,03/31/2018,500.0,600.0,17674.6,0.0,07/01/2017
1558,AL06,"PALMER, GARY",REP,INCUMBENT,1216730.71,1496359.76,372551.28,12/31/2018,0.0,0.0,1079264.61,652180.33,01/01/2017
341,AL06,"KLINE, DANNER",DEM,CHALLENGER,287432.23,287432.23,0.0,11/26/2018,0.0,818.0,285091.56,0.0,04/01/2017
959,AL07,"SEWELL, TERRI A.",DEM,INCUMBENT,1785098.9,1178352.28,1571272.38,12/31/2018,88.23,0.0,881310.97,964525.76,01/01/2017
960,AR01,"CRAWFORD, ERIC ALAN RICK",REP,INCUMBENT,1019464.16,966616.64,311424.52,12/31/2018,4950.0,0.0,542041.64,258577.0,01/01/2017
443,AR01,"DESAI, CHINTAN",DEM,CHALLENGER,137153.22,137153.22,0.0,11/30/2018,0.0,4597.63,137069.22,0.0,10/01/2017
1531,AR02,"SPENCER, PAUL JOHN MR.",DEM,CHALLENGER,270092.89,270092.89,0.0,12/31/2018,0.0,1583.0,265093.99,0.0,04/01/2017
645,AR02,"TUCKER, EVERETT CLARKE IV",DEM,CHALLENGER,2366991.03,2359234.62,7756.41,12/31/2018,6300.0,200.0,2347833.69,0.0,01/01/2018
873,AR02,"HILL, JAMES FRENCH",REP,INCUMBENT,2934564.98,3536453.22,46780.63,12/31/2018,8150.0,0.0,3361453.22,648668.87,01/01/2017
1886,AR02,"DUNKLEY, JONATHAN",DEM,CHALLENGER,34466.05,34298.21,417.84,07/25/2018,0.0,0.0,34298.21,250.0,01/01/2018
271,AR02,"COMBS, GWENDOLYNN MILLEN MRS.",DEM,CHALLENGER,33934.76,31979.38,2456.03,12/31/2018,0.0,1899.4,31979.38,0.0,07/01/2017
255,AR03,"RYERSE, ROBERT",REP,CHALLENGER,50302.95,42944.59,7357.92,05/02/2018,0.0,0.0,42944.59,0.0,05/10/2017
1429,AR03,"WOMACK, STEVE",REP,INCUMBENT,1211826.66,1218424.03,1159218.79,12/31/2018,0.0,0.0,1091543.68,1165816.16,01/01/2017
1424,AR03,"MAHONY, JOSH",DEM,CHALLENGER,266234.41,265214.3,186.36,12/31/2018,0.0,89906.2,265213.91,0.0,04/01/2017
865,AR04,"WESTERMAN, BRUCE",REP,INCUMBENT,1624216.85,1297141.11,671609.55,12/31/2018,500.0,0.0,1255979.11,344533.81,01/01/2017
1301,AR04,"MCQUEEN, LEE",IND,CHALLENGER,1121.29,1009.62,0.0,08/22/2018,168.88,108.73,824.24,0.0,07/01/2017
1007,AR04,"SHAMEL, HAYDEN CATHERINE",DEM,CHALLENGER,157247.12,155049.94,2197.18,12/31/2018,7764.32,3576.2,149255.03,0.0,08/01/2017
1990,AR04,"CALDWELL, RANDY",REP,CHALLENGER,176835.5,35518.0,307.0,12/31/2018,0.0,0.0,34516.0,5850.0,01/01/2018
282,AS01,"AMATA, AUMUA",REP,INCUMBENT,167191.0,168373.19,916.98,12/31/2018,6500.0,4000.0,168187.19,2099.17,01/01/2017
788,AZ01,"ROGERS, WENDY",REP,CHALLENGER,1423836.68,1427124.4,1702.07,12/31/2018,5000.0,698.53,1391890.51,4989.79,01/01/2017
433,AZ01,"SMITH, STEVE",REP,CHALLENGER,438887.91,438701.54,186.37,12/31/2018,0.0,0.0,362551.54,0.0,05/15/2017
820,AZ01,"SHEDD, TIFFANY",REP,CHALLENGER,598230.31,594796.85,3433.46,12/31/2018,0.0,20442.62,557370.29,0.0,06/01/2017
1017,AZ01,"CAVANAUGH, KEVIN",REP,CHALLENGER,11164.31,11164.31,0.0,12/31/2018,0.0,0.0,8933.04,0.0,10/01/2017
1115,AZ01,"O'HALLERAN, TOM",DEM,INCUMBENT,2748953.04,2760247.97,5931.95,12/31/2018,12323.22,0.0,2701780.93,17291.88,01/01/2017
281,AZ02,"WHEELER, BRUCE",DEM,OPEN,32300.15,27163.68,-9.45,12/31/2018,0.0,0.0,26145.85,0.0,06/01/2017
1148,AZ02,"MARQUEZ PETERSON, LEA",REP,OPEN,1466445.23,1457230.95,9214.28,12/31/2018,0.0,0.0,1437130.95,0.0,10/01/2017
361,AZ02,"SHERRY, BARBARA LOUISE",DEM,OPEN,7318.02,2138.35,0.0,10/10/2018,0.0,100.0,2038.35,100.0,01/09/2016
1450,AZ02,"HEINZ, MATTHEW GERALD",DEM,OPEN,1013517.34,1013017.34,500.0,12/31/2018,0.0,147700.12,968481.31,0.0,04/01/2017
1847,AZ02,"MARTIN, BRANDON RAY",REP,OPEN,39639.59,39639.59,0.0,12/31/2018,0.0,875.59,39145.09,0.0,01/01/2018
1981,AZ02,"KOVACS, WILLIAM RICHARD",DEM,OPEN,82954.99,61288.71,17461.02,08/08/2018,0.0,31352.67,61288.71,0.0,01/01/2017
1680,AZ02,"WILES, MARILYN MS",REP,OPEN,10020.0,3558.0,6461.0,06/30/2018,0.0,1500.0,3558.0,0.0,01/01/2018
1133,AZ02,"WELCH, CASEY BURKE MR.",REP,OPEN,14846.7,14652.33,0.0,10/30/2018,0.0,13446.7,10757.33,0.0,01/01/2018
434,AZ02,"MORALES, DANIEL ROMERO JR",REP,OPEN,11351.13,11271.83,79.3,12/31/2018,0.0,1656.29,11271.83,0.0,01/01/2018
646,AZ02,"KIRKPATRICK, ANN",DEM,OPEN,4591984.57,4519793.32,72191.25,12/31/2018,2229.33,2700.0,4432135.31,0.0,07/01/2017
1808,AZ02,"YUKSEL, YAHYA",DEM,OPEN,52426.93,51667.76,-1680.27,09/30/2018,0.0,0.0,51013.34,0.0,02/23/2018
203,AZ02,"MATIELLA, MARIA MARY",DEM,OPEN,291497.47,291497.47,0.0,09/26/2018,0.0,22950.1,275473.14,0.0,04/01/2017
1848,AZ03,"ARELLANO, SERGIO",REP,CHALLENGER,40346.71,40346.71,0.0,12/31/2018,0.0,3481.52,40321.71,0.0,12/13/2017
2106,AZ03,"SAN MIGUEL, EDNA",REP,CHALLENGER,13088.28,8034.43,2583.43,12/31/2018,0.0,450.0,6936.15,0.0,05/20/2015
102,AZ03,"PIERSON, JOE NICOLAS",REP,CHALLENGER,77401.0,71640.5,19.24,12/31/2018,0.0,0.0,77056.5,0.0,01/01/2018
16,AZ03,"GRIJALVA, RAUL M",DEM,INCUMBENT,713305.82,733300.37,38155.74,12/31/2018,0.0,0.0,697157.98,58150.29,01/01/2017
1572,AZ04,"GOSAR, PAUL DR.",REP,INCUMBENT,588764.42,575157.87,121199.58,12/31/2018,0.0,0.0,566323.39,107593.03,01/01/2017
584,AZ04,"PEREZ GISSY, ANA MARIA MS",DEM,CHALLENGER,9136.56,8578.83,557.73,09/30/2018,2500.0,30.0,8128.83,0.0,07/27/2017
1413,AZ04,"DISANTO, DELINA",DEM,CHALLENGER,28226.07,19661.88,8564.19,12/31/2018,0.0,1878.1,18340.18,0.0,01/01/2018
1991,AZ04,"BRILL, DAVID H",DEM,CHALLENGER,598542.59,598541.66,0.0,12/31/2018,0.0,365.0,588542.93,0.0,01/01/2018
1630,AZ05,"TORRES, JOSE LAZARO",DEM,CHALLENGER,10411.74,10862.76,-451.02,06/30/2018,0.0,6.0,10862.76,0.0,01/01/2017
980,AZ05,"MARGALIS, TONY",DEM,CHALLENGER,3220.53,3220.53,0.0,03/31/2018,2500.0,620.53,3120.53,0.0,01/01/2018
2151,AZ05,"GREENE, JOAN",DEM,CHALLENGER,201030.73,199163.32,1837.41,12/31/2018,2500.0,0.0,198631.55,0.0,04/01/2017
502,AZ05,"BIGGS, ANDY MR.",UNK,INCUMBENT,789616.16,552967.73,285245.51,12/31/2018,0.0,0.0,359965.4,48597.08,01/01/2017
885,AZ05,"MENOR, SCOTT A",DEM,OPEN,4644.0,7831.96,-3187.96,03/31/2018,0.0,27.0,7831.96,0.0,01/01/2018
296,AZ06,"MCFADDEN, GARRICK ARVIN MR.",DEM,CHALLENGER,106613.44,106613.04,0.0,10/15/2018,2500.1,12000.0,103673.76,0.0,04/01/2017
901,AZ06,"SCHWEIKERT, DAVID",REP,INCUMBENT,1789742.69,1773912.37,44232.49,12/31/2018,0.0,0.0,1475926.2,28402.17,01/01/2017
1455,AZ06,"ROSS, HEATHER MAURA",DEM,CHALLENGER,469154.21,469154.21,0.0,10/25/2018,2842.1,6572.25,426305.14,0.0,07/01/2017
1849,AZ06,"MALIK, ANITA",DEM,CHALLENGER,397776.28,391755.8,6195.48,12/31/2018,0.0,0.0,391715.8,0.0,07/01/2017
2005,AZ06,"WILLIAMSON, W JOHN",DEM,CHALLENGER,976.94,1109.65,18.71,06/14/2018,0.0,0.0,1109.65,151.42,01/01/2017
2113,AZ07,"MIRANDA, CATHERINE",DEM,CHALLENGER,31240.97,28722.27,2518.7,09/30/2018,0.0,0.0,28663.25,0.0,07/01/2017
902,AZ07,"GALLEGO, RUBEN",DEM,INCUMBENT,1029052.74,953135.67,459177.86,12/31/2018,0.0,0.0,772628.3,383260.79,01/01/2017
144,AZ08,"ALLEN, CHAD",REP,OPEN,33011.58,33011.58,0.0,06/30/2018,0.0,28386.58,30625.67,0.0,12/18/2017
1264,AZ08,"WESTBROOK, BRIANNA",DEM,OPEN,42870.67,38439.89,0.0,06/30/2018,3175.0,275.0,36410.68,0.0,04/01/2017
454,AZ08,"MONTENEGRO, STEVE",REP,OPEN,356446.69,356446.69,0.0,06/30/2018,0.0,0.0,347346.69,0.0,12/11/2017
500,AZ08,"STUMP, BOB",REP,OPEN,21980.0,21980.0,13484.68,12/31/2018,0.0,0.0,21980.0,13484.68,01/01/2017
23,AZ08,"SAWDY, STEVEN",REP,OPEN,1000.0,395.0,574.0,10/15/2018,0.0,1000.0,389.0,0.0,01/01/2018
2036,AZ08,"MACK, RICHARD",REP,OPEN,72709.69,72709.69,0.0,03/31/2018,0.0,8232.0,70689.22,0.0,01/01/2018
1687,AZ08,"DILLEY, BRENDEN",REP,OPEN,47018.77,47014.81,3.96,06/30/2018,0.0,0.0,47012.13,0.0,12/09/2017
1695,AZ08,"DOWLING, SANDRA ELAINE DR",REP,CHALLENGER,12543.12,12543.12,0.0,09/12/2018,0.0,0.0,12405.23,0.0,01/01/2018
908,AZ08,"MUSSELWHITE, ROBERT RICHARD",DEM,CHALLENGER,9120.84,8748.0,407.0,12/31/2018,0.0,0.0,0.0,0.0,01/01/2017
849,AZ08,"SYLVESTER, CHRISTOPHER",IND,OPEN,8403.13,7917.18,485.95,03/31/2018,0.0,7774.13,6409.68,0.0,10/01/2017
633,AZ08,"MCHALE, JUDITH KEENAN",DEM,OPEN,4845.0,3847.62,-820.1,09/30/2017,500.0,0.0,3847.62,50.0,04/01/2017
907,AZ08,"TIPIRNENI, HIRAL",DEM,OPEN,4579945.1,4479343.36,100601.74,12/31/2018,0.0,23593.05,4064164.52,0.0,07/01/2017
1890,AZ08,"LOVAS, PHIL",REP,OPEN,318412.83,318412.83,0.0,03/31/2018,0.0,5806.43,267273.43,0.0,01/01/2017
1560,AZ08,"LESKO, DEBBIE",REP,INCUMBENT,2103473.83,2032633.16,70840.67,12/31/2018,20000.0,1703.59,1996586.95,0.0,10/01/2017
1889,AZ08,"LIEN, DAVID",REP,OPEN,17745.0,19382.76,-1637.76,03/31/2018,0.0,2000.0,19232.76,0.0,12/04/2017
1147,AZ09,"GILES, DAVID VICTOR",REP,OPEN,180704.87,180752.54,0.0,12/31/2018,0.0,0.0,113349.94,47.67,01/01/2017
937,AZ09,"STANTON, GREG",DEM,OPEN,2510256.26,2465870.87,44385.39,12/31/2018,0.0,0.0,2260650.24,0.0,10/01/2017
935,AZ09,"LEIBSOHN, SETH MR.",REP,OPEN,144447.34,133235.54,11211.8,12/31/2018,0.0,0.0,132735.25,0.0,10/01/2017
933,AZ09,"BARONESS VON BEHR, IRINA",REP,OPEN,21989.38,21937.07,52.31,12/31/2018,0.0,150.0,20741.68,0.0,01/01/2017
713,AZ09,"FERRARA, STEVE MD",REP,OPEN,1565927.76,1565927.76,0.0,11/26/2018,0.0,11676.66,1502064.59,0.0,05/12/2017
938,AZ09,"ARAUJO, HECTOR MR.",DEM,OPEN,3580.0,3580.0,0.0,12/31/2018,0.0,0.0,3580.0,0.0,04/01/2018
682,AZ09,"FUENTES, TALIA",DEM,OPEN,44664.14,43867.05,797.09,03/31/2018,0.0,0.0,43867.05,0.0,02/25/2017
607,CA01,"LAMALFA, DOUG",REP,INCUMBENT,1034565.26,1095659.91,28130.95,12/31/2018,500.0,0.0,1043091.91,89475.6,01/01/2017
232,CA01,"STORMENT, BRANDON",DEM,CHALLENGER,1019.06,1019.06,0.0,11/30/2017,0.0,1015.63,1019.06,0.0,01/01/2017
1943,CA01,"HOLCOMBE, JESSICA JONES",DEM,CHALLENGER,290020.57,290020.57,0.0,08/23/2018,0.0,104.0,270832.24,0.0,01/01/2017
761,CA01,"WALTERS, MARTHA",DEM,CHALLENGER,68655.53,68655.53,0.0,10/10/2018,0.0,16940.52,58588.81,0.0,01/01/2017
1396,CA01,"ELBINGER, LEWIS",GRE,CHALLENGER,16403.37,16403.37,0.0,06/29/2018,0.0,0.0,16117.47,0.0,01/01/2018
1846,CA01,"DUNCAN, DENNIS DEAN",DEM,CHALLENGER,7521.15,3790.37,0.02,06/30/2018,0.0,457.24,3573.65,0.0,01/01/2017
314,CA01,"PETERSON, DAVID",DEM,CHALLENGER,17275.0,12697.0,4578.0,03/31/2018,0.0,0.0,11847.0,0.0,01/01/2018
1922,CA01,"DENNEY, AUDREY",DEM,CHALLENGER,1097584.95,1097092.46,492.49,12/31/2018,2000.0,0.0,1087497.65,0.0,01/01/2018
1860,CA02,"HUFFMAN, JARED",DEM,INCUMBENT,951336.24,731368.14,820776.44,12/31/2018,27.45,0.0,513147.9,600808.34,01/01/2017
1559,CA02,"MENSING, DALE KENNETH",REP,CHALLENGER,4918.0,3729.25,1637.0,12/31/2018,0.0,3426.0,3583.0,431.0,01/01/2017
1162,CA03,"SCHAUPP, CHARLES EUGENE",REP,CHALLENGER,38285.99,27158.94,6752.56,12/31/2018,0.0,0.0,26905.44,0.0,04/01/2018
1573,CA03,"GARAMENDI, JOHN",DEM,INCUMBENT,1120045.28,839434.81,724376.4,12/31/2018,27.45,0.0,816636.6,443765.93,01/01/2017
1045,CA04,"WILCOX, ROCHELLE LYN",DEM,CHALLENGER,24438.0,24438.0,0.0,12/31/2017,0.0,2000.0,15698.1,0.0,01/01/2017
1138,CA04,"WHITE, MITCHELL",REP,CHALLENGER,11496.0,10442.7,0.0,09/30/2018,0.0,0.0,10442.7,0.0,01/01/2018
413,CA04,"CALDERON, ROZA I",DEM,CHALLENGER,97376.41,32122.37,66106.84,03/31/2018,0.0,0.0,29384.37,0.0,04/01/2017
597,CA04,"BATESON, REGINA",DEM,CHALLENGER,804901.59,804901.59,0.0,08/09/2018,0.0,1766.99,748466.44,0.0,01/01/2017
1879,CA04,"MORSE, JESSICA",DEM,CHALLENGER,3813237.37,3711060.21,102177.16,12/31/2018,1978.46,231.81,3655086.53,0.0,01/01/2017
696,CA04,"MCCLINTOCK, THOMAS",REP,INCUMBENT,1749596.79,1800346.86,224826.27,12/31/2018,0.0,0.0,1709968.7,275176.34,01/01/2017
939,CA05,"THOMPSON, MIKE MR.",DEM,INCUMBENT,2132210.38,2088802.64,1560786.18,12/31/2018,41.23,0.0,1580770.2,1517378.44,01/01/2017
504,CA06,"MATSUI, DORIS",DEM,INCUMBENT,1067180.03,1118818.56,323335.18,12/31/2018,303.49,0.0,876743.59,374973.71,01/01/2017
961,CA07,"BERA, AMERISH",DEM,INCUMBENT,2960892.11,1769089.63,1324713.43,12/31/2018,3623.84,20.89,1617716.95,132910.95,01/01/2017
146,CA07,"WESTMORELAND, BRAD",DEM,CHALLENGER,2581.95,2581.95,0.0,02/23/2018,0.0,269.85,2229.52,0.0,01/01/2017
111,CA07,"BARASH, YONA",REP,CHALLENGER,321947.52,321947.52,0.0,08/23/2018,0.0,7506.24,168265.91,0.0,01/01/2017
1880,CA07,"GRANT, ANDREW",REP,CHALLENGER,566014.2,549841.35,16172.85,12/31/2018,0.0,25.0,541047.54,0.0,07/01/2017
1214,CA08,"DONNELLY, TIMOTHY M.",REP,CHALLENGER,276438.37,275611.46,826.91,12/31/2018,0.0,10.0,271631.46,0.0,01/01/2017
471,CA08,"DOYLE, MARGE",DEM,CHALLENGER,421369.75,395128.01,34597.45,12/31/2018,0.0,2018.0,361198.09,0.0,10/01/2017
17,CA08,"COOK, PAUL",REP,INCUMBENT,978469.19,1409426.35,140257.11,12/31/2018,0.0,0.0,1387329.35,571214.27,01/01/2017
662,CA08,"RAMIREZ-DEAN, RITA DR",DEM,CHALLENGER,369.01,4514.56,3245.54,06/30/2018,0.0,0.0,2881.57,7138.81,01/01/2018
904,CA09,"MCNERNEY, GERALD MARK",DEM,INCUMBENT,1244066.27,1285784.91,168757.82,12/31/2018,553.48,0.0,1098272.46,210476.46,01/01/2017
947,CA09,"HOWZE, TED D II",REP,CHALLENGER,310905.0,1334.35,309570.65,12/31/2018,10000.0,0.0,1334.35,0.0,01/01/2018
472,CA09,"LIVENGOOD, MARLA",REP,CHALLENGER,99966.73,97462.93,1947.57,12/31/2018,250.0,0.0,96071.8,0.0,01/01/2017
1109,CA10,"NYGARD, DOROTHY (DOTTY)",DEM,CHALLENGER,68767.16,68767.16,0.0,06/30/2018,0.0,0.0,58027.72,0.0,01/01/2017
1865,CA10,"BEDOLLA, MATEO MORELOS",DEM,CHALLENGER,440.13,440.13,0.0,07/23/2018,0.0,100.0,97.8,0.0,04/01/2017
25,CA10,"BATTISTA, LISA",DEM,CHALLENGER,7028.37,1840.64,5187.73,06/30/2017,0.0,0.0,1840.64,0.0,04/01/2017
1881,CA10,"HARDER, JOSH",DEM,CHALLENGER,8441529.09,8421288.43,20240.66,12/31/2018,1396.2,0.0,8357703.49,0.0,04/30/2017
833,CA10,"ZWAHLEN, SUE",DEM,CHALLENGER,840266.61,480284.77,0.0,09/30/2018,0.0,366402.78,478772.05,0.0,07/01/2017
890,CA10,"SNOVER, TERRA EVA",IND,CHALLENGER,428.0,337.81,590.19,12/31/2017,0.0,0.0,337.81,500.0,04/01/2017
1661,CA10,"DENHAM, JEFF",REP,INCUMBENT,4911908.8,4932044.09,306567.07,12/31/2018,5000.0,0.0,4887076.79,326702.36,01/01/2017
891,CA10,"VAUGHN, SETH MICHAEL",DEM,CHALLENGER,969.85,969.85,0.0,12/31/2017,0.0,417.42,417.42,0.0,04/01/2017
1759,CA10,"MADUENO, VIRGINIA",DEM,CHALLENGER,355454.26,355954.26,0.0,12/31/2018,0.0,2402.56,324960.83,0.0,07/01/2017
931,CA10,"EGGMAN, MICHAEL RAY",DEM,CHALLENGER,346820.52,398230.02,4285.78,09/30/2018,0.0,0.0,328220.79,55695.28,01/01/2017
1755,CA10,"BARKLEY, MICHAEL JAMES",DEM,CHALLENGER,48734.3,13840.37,2819.86,12/31/2018,0.0,0.0,13427.02,-32074.07,01/01/2017
950,CA11,"LYTTON, ALVA",DEM,CHALLENGER,23298.98,20631.92,2667.06,12/31/2018,0.0,0.0,8133.58,0.0,10/01/2017
117,CA11,"DESAULNIER, MARK",DEM,INCUMBENT,576041.93,489011.76,311530.46,12/31/2018,0.0,0.0,336029.62,224500.29,01/01/2017
1869,CA12,"BUTTAR, SHAHID",DEM,CHALLENGER,69574.53,69566.46,8.07,12/31/2018,0.0,945.0,69129.38,0.0,01/01/2018
874,CA12,"KHOJASTEH, RYAN",DEM,CHALLENGER,53875.21,53875.21,0.0,09/30/2018,0.0,1300.0,49524.23,0.0,01/01/2017
1868,CA12,"JAFFE, STEPHEN R",DEM,CHALLENGER,110339.6,109749.72,137.48,12/31/2018,0.0,0.0,96571.76,0.0,01/01/2017
1554,CA12,"GOLDSTEIN, MICHAEL",NOP,CHALLENGER,2860.0,558.04,2301.96,09/30/2018,0.0,1.0,484.03,0.0,01/01/2018
998,CA12,"PELOSI, NANCY",DEM,INCUMBENT,4622034.66,5438034.69,1004817.82,12/31/2018,0.0,0.0,2795288.45,1820817.85,01/01/2017
2017,CA12,"HERMANSON, BARRY",GRE,CHALLENGER,7114.85,7114.85,0.0,06/30/2018,0.0,6352.85,6108.63,0.0,01/01/2017
358,CA12,"REMMER, LISA",REP,CHALLENGER,22442.61,22442.61,0.0,11/19/2018,1000.0,0.0,11192.61,0.0,01/01/2018
1145,CA13,"WELLS, LAURA",GRE,CHALLENGER,9438.94,8195.44,1243.5,12/31/2018,654.5,27.0,5205.88,0.0,07/01/2018
1565,CA13,"LEE, BARBARA",DEM,INCUMBENT,1875867.26,1781695.78,132303.44,12/31/2018,26.04,0.0,1310845.53,38131.96,01/01/2017
599,CA14,"SPEIER, JACKIE",DEM,INCUMBENT,961914.11,748371.32,1756436.46,12/31/2018,0.0,0.0,677101.73,1542893.67,01/01/2017
855,CA15,"ST JOHN, ERICK BRENDAN",NPA,CHALLENGER,9348.0,9251.86,96.14,09/30/2018,0.0,1360.0,7581.46,0.0,05/20/2017
1005,CA15,"PETERS, RUDY PETERS",REP,CHALLENGER,56807.88,56807.88,0.0,12/12/2018,1000.0,115.0,56414.43,0.0,01/01/2018
2154,CA15,"SWALWELL, ERIC MICHAEL",DEM,INCUMBENT,3120878.72,2462007.82,1672993.9,12/31/2018,251.74,0.0,1813241.41,1014123.0,01/01/2017
1244,CA16,"HENG, ELIZABETH",UNK,CHALLENGER,1298558.89,1267197.95,31360.94,12/31/2018,6472.0,8372.55,1208684.18,0.0,01/01/2018
1009,CA16,"COSTA, JIM",DEM,INCUMBENT,1856797.6,2363583.43,109890.31,12/31/2018,2527.45,0.0,2328000.43,616676.14,01/01/2017
1350,CA17,"COHEN, RONALD H",REP,CHALLENGER,3631.0,3590.0,0.0,12/31/2018,0.0,3631.0,3009.0,-41.0,01/01/2017
905,CA17,"KHANNA, ROHIT",DEM,INCUMBENT,2745646.11,1922134.46,878603.52,12/31/2018,0.0,0.0,1731754.5,55091.87,01/01/2017
1722,CA17,"TRAN, KHANH",DEM,CHALLENGER,7265.0,7208.91,56.09,06/15/2018,0.0,0.0,0.0,0.0,01/01/2018
1931,CA18,"ESHOO, ANNA G",DEM,INCUMBENT,1456223.86,1361644.46,497047.57,12/31/2018,27.45,0.0,1015436.33,402468.17,01/01/2017
1741,CA19,"AGUILERA, JUSTIN",REP,CHALLENGER,26127.27,22256.57,3870.7,12/31/2018,0.0,0.0,20122.92,0.0,01/01/2018
906,CA19,"LOFGREN, ZOE",DEM,INCUMBENT,1733955.08,1872385.37,1136681.8,12/31/2018,500.0,0.0,1200861.11,1275112.09,01/01/2017
391,CA20,"CHEADER, ROBERT NEIL",IND,CHALLENGER,50.0,55.0,0.0,06/30/2017,0.0,50.0,0.0,0.0,04/01/2017
